joint,velocity_rms,acceleration_rms,jerk_rms,jitter_rms,high_freq_ratio,extrema_count,vel_zero_crossings
left_joint_0,0.08277515119451491,0.17047145265957786,1.2363517882650676,0.005066749568784571,4.9480773248601224e-05,0,65
left_joint_1,0.07604310676010963,0.1639573752855296,1.177659229850303,0.004887461997496088,5.298701993922731e-05,0,41
left_joint_2,0.07286970488781946,0.16548797782446834,1.1997121645565938,0.004878492004390481,4.4269827121390245e-05,0,35
left_joint_3,0.023858545249214467,0.08530136616874345,0.560908285372018,0.002744580977787161,0.00037372955956044057,2,64
left_joint_4,0.05651844525014106,0.18435914134021192,1.2880796010470148,0.005607507508381548,0.0010436571861297634,0,65
left_joint_5,0.026127496962106086,0.09991314322450089,0.6653492376931195,0.0030474896612808157,0.0018261207454691162,3,78
left_joint_6,0.008948043546057077,0.0283860958572313,0.17323199443330423,0.0009667701269736404,0.000357129479840582,0,51
left_joint_7,0.009032458923905355,0.0287645774940377,0.1755167975138898,0.0009796369076070675,0.00036349016529114894,0,65
right_joint_0,0.09299285683586561,0.23492916177249584,1.6776190152554369,0.007004107063004514,5.521403916831925e-05,0,46
right_joint_1,0.0782212401803107,0.19291729769008834,1.3427908855765096,0.005872008783901791,5.042343322801737e-05,0,31
right_joint_2,0.10253944514424715,0.2798622956292131,1.9141959511481867,0.008679129098371978,4.671317109794847e-05,0,53
right_joint_3,0.0871124337114208,0.2562056947118232,1.7746500197064952,0.0077722746053352,0.00014725030701302462,0,49
right_joint_4,0.11212536252243517,0.2790427941861253,1.7170194262347331,0.009564778980607433,5.7669199061966014e-05,0,52
right_joint_5,0.0642170580333801,0.19154790284565792,1.2967546984430556,0.006014399060231001,0.0001769556925749508,0,46
right_joint_6,0.009582048906627512,0.03129762877981972,0.19101830607222364,0.0010616851364507376,0.0004219316180052795,0,63
right_joint_7,0.009447434757916344,0.03102977616528033,0.1899841038618998,0.0010501840237990307,0.00042034185086666984,0,59
